"('Thru 5 Years', 'Player')","('Thru 5 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')"
Semi Ojeleye,,1.9,1.2,1.2,0.7,0.2
Cliff Meely,89.5,1.8,1.2,1.0,0.4,0.2
Jud Buechler,88.1,1.8,1.5,1.2,0.5,0.4
Darvin Ham,86.0,1.7,1.2,0.9,0.9,0.1
Charles Davis,84.1,2.1,1.5,1.0,0.9,0.3
Jeff Ayres,83.2,2.4,1.3,1.2,1.0,0.3
Taurean Prince,82.9,2.0,1.5,1.1,1.0,0.6
Henry Walker,82.7,1.9,1.1,0.9,0.5,0.5
Wesley Johnson,82.6,1.9,1.7,1.3,0.6,0.0
Pete Verhoeven,82.6,2.1,1.2,0.8,0.7,0.4
Bob Brannum,82.2,2.0,1.6,1.1,0.8,0.0
