"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')","('Win Shares (Best to Worst)', '10')","('Win Shares (Best to Worst)', '11')"
Jarron Collins,,4.2,3.9,3.3,1.3,1.1,1.0,0.7,0.2,0.1,-0.1,
Steve Novak,84.7,4.0,3.9,2.2,1.4,1.1,0.9,0.4,0.3,0.3,0.1,0.0
Lionel Simmons,83.8,4.3,3.8,3.8,2.7,1.1,0.9,0.3,,,,
Chase Budinger,82.9,3.4,3.1,3.0,1.4,1.3,0.9,0.7,,,,
Cornell Warner,82.1,4.7,4.3,3.5,1.7,0.6,0.6,0.3,,,,
Rondae Hollis-Jefferson,81.2,4.1,3.4,2.6,1.2,1.2,0.3,,,,,
Walter McCarty,81.0,4.1,2.9,2.9,1.8,1.1,0.7,0.5,0.0,0.0,-0.2,
Donald Royal,80.8,5.1,3.8,3.6,2.3,1.6,1.3,1.0,0.4,,,
Jason Caffey,80.7,3.9,3.5,2.7,1.6,0.6,0.5,0.4,0.3,,,
Drew Eubanks,80.5,4.4,3.4,3.1,2.3,1.7,0.8,0.3,,,,
Isaiah Stewart,80.1,4.3,4.0,3.4,2.0,1.7,,,,,,
