Season,Age,Team,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
2001-02,23,UTA,NBA,C,4.0,4.0,47.0,7.7,13.8,0.556,0.0,0.0,7.7,13.8,0.556,0.556,1.5,1.5,1.0,3.1,2.3,5.4,0.0,0.0,0.0,3.1,8.4,16.9,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-07,28,UTA,NBA,C,13.0,0.0,110.0,1.0,2.9,0.333,0.0,0.0,1.0,2.9,0.333,0.333,2.9,5.6,0.529,2.6,3.9,6.5,1.6,1.3,0.0,0.3,6.9,4.9,
2007-08,29,UTA,NBA,C,5.0,0.0,20.0,0.0,5.4,0.0,0.0,0.0,0.0,5.4,0.0,0.0,0.0,0.0,,5.4,5.4,10.8,1.8,1.8,1.8,0.0,3.6,0.0,
2008-09,30,UTA,NBA,C,3.0,3.0,35.0,1.0,5.1,0.2,0.0,0.0,1.0,5.1,0.2,0.2,6.2,8.2,0.75,4.1,6.2,10.3,1.0,1.0,0.0,0.0,9.3,8.2,
2009-10,31,PHO,NBA,C,11.0,10.0,115.0,1.6,4.7,0.333,0.0,0.0,1.6,4.7,0.333,0.333,0.6,0.6,1.0,2.8,2.5,5.3,0.0,0.3,0.3,0.9,6.9,3.8,
5 Yrs,5 Yrs,5 Yrs,5 Yrs,,36.0,17.0,327.0,2.1,5.5,0.38,0.0,0.0,2.1,5.5,0.38,0.38,2.1,3.2,0.655,3.1,3.5,6.6,0.8,0.8,0.2,0.9,7.2,6.3,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UTA (4 Yrs),UTA (4 Yrs),UTA (4 Yrs),UTA (4 Yrs),,25.0,7.0,212.0,2.4,5.9,0.4,0.0,0.0,2.4,5.9,0.4,0.4,2.9,4.6,0.63,3.2,4.1,7.3,1.2,1.0,0.2,0.8,7.3,7.6,
PHO (1 Yr),PHO (1 Yr),PHO (1 Yr),PHO (1 Yr),,11.0,10.0,115.0,1.6,4.7,0.333,0.0,0.0,1.6,4.7,0.333,0.333,0.6,0.6,1.0,2.8,2.5,5.3,0.0,0.3,0.3,0.9,6.9,3.8,
