Season,Age,Team,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,Awards
2001-02,23,UTA,NBA,C,4.0,4.0,47.0,11.4,20.6,0.556,0.0,0.0,11.4,20.6,0.556,0.556,2.3,2.3,1.0,4.6,3.4,8.0,0.0,0.0,0.0,4.6,12.6,25.2,98.0,108.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-07,28,UTA,NBA,C,13.0,0.0,110.0,1.4,4.3,0.333,0.0,0.0,1.4,4.3,0.333,0.333,4.3,8.2,0.529,3.8,5.8,9.6,2.4,1.9,0.0,0.5,10.1,7.2,118.0,107.0,
2007-08,29,UTA,NBA,C,5.0,0.0,20.0,0.0,8.1,0.0,0.0,0.0,0.0,8.1,0.0,0.0,0.0,0.0,,8.1,8.1,16.2,2.7,2.7,2.7,0.0,5.4,0.0,74.0,105.0,
2008-09,30,UTA,NBA,C,3.0,3.0,35.0,1.5,7.3,0.2,0.0,0.0,1.5,7.3,0.2,0.2,8.8,11.7,0.75,5.9,8.8,14.7,1.5,1.5,0.0,0.0,13.2,11.7,128.0,114.0,
2009-10,31,PHO,NBA,C,11.0,10.0,115.0,2.3,6.9,0.333,0.0,0.0,2.3,6.9,0.333,0.333,0.9,0.9,1.0,4.1,3.7,7.8,0.0,0.5,0.5,1.4,10.1,5.5,93.0,117.0,
5 Yrs,5 Yrs,5 Yrs,5 Yrs,,36.0,17.0,327.0,3.1,8.1,0.38,0.0,0.0,3.1,8.1,0.38,0.38,3.1,4.7,0.655,4.5,5.2,9.7,1.1,1.1,0.3,1.3,10.5,9.2,105.0,111.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UTA (4 Yrs),UTA (4 Yrs),UTA (4 Yrs),UTA (4 Yrs),,25.0,7.0,212.0,3.5,8.7,0.4,0.0,0.0,3.5,8.7,0.4,0.4,4.2,6.7,0.63,4.7,6.0,10.7,1.7,1.5,0.2,1.2,10.7,11.2,109.0,108.0,
PHO (1 Yr),PHO (1 Yr),PHO (1 Yr),PHO (1 Yr),,11.0,10.0,115.0,2.3,6.9,0.333,0.0,0.0,2.3,6.9,0.333,0.333,0.9,0.9,1.0,4.1,3.7,7.8,0.0,0.5,0.5,1.4,10.1,5.5,93.0,117.0,
