Season,Team,Lg,Salary
2013-14,Milwaukee Bucks,NBA,"$1,792,560"
2014-15,Milwaukee Bucks,NBA,"$1,873,200"
2015-16,Milwaukee Bucks,NBA,"$1,953,960"
2016-17,Milwaukee Bucks,NBA,"$2,995,421"
2017-18,Milwaukee Bucks,NBA,"$22,471,910"
2018-19,Milwaukee Bucks,NBA,"$24,157,304"
2019-20,Milwaukee Bucks,NBA,"$25,842,697"
2020-21,Milwaukee Bucks,NBA,"$27,528,088"
2021-22,Milwaukee Bucks,NBA,"$39,344,970"
2022-23,Milwaukee Bucks,NBA,"$42,492,492"
2023-24,Milwaukee Bucks,NBA,"$45,640,084"
2024-25,Milwaukee Bucks,NBA,"$48,787,676"
Career,(may be incomplete),,"$284,880,362"
