"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')","('Win Shares (Best to Worst)', '10')","('Win Shares (Best to Worst)', '11')","('Win Shares (Best to Worst)', '12')"
Sebastian Telfair,,1.1,0.8,0.8,0.7,0.6,0.5,0.4,0.3,0.1,-0.4,,
Royal Ivey,76.2,1.0,0.9,0.7,0.6,0.5,0.3,0.2,0.2,0.2,0.0,,
Brook Steppe,59.6,1.3,1.1,1.0,0.7,0.6,,,,,,,
Howard Komives,55.5,1.5,1.4,1.0,0.9,0.7,0.3,0.2,0.1,-0.1,-0.8,,
John Wetzel,54.6,2.0,1.5,1.1,0.7,0.5,0.5,0.4,,,,,
Troy Daniels,53.8,1.4,1.3,1.1,0.6,0.3,0.2,0.2,,,,,
Rex Walters,52.5,1.6,1.6,1.2,0.9,0.5,0.4,0.3,,,,,
JaKarr Sampson,52.4,1.2,0.8,0.6,0.5,0.3,0.1,,,,,,
Lindy Waters III,51.8,1.1,1.0,0.9,0.8,,,,,,,,
John Warren,49.1,1.7,0.9,0.8,0.5,0.3,,,,,,,
Ronnie Price,47.8,1.4,1.1,0.9,0.7,0.4,0.1,0.1,0.1,0.0,-0.1,-0.2,-0.7
