"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')"
Lazar Hayward,,0.3,0.1,-0.1,
Ignas Brazdeikis,50.1,0.5,0.1,-0.1,
Scooter McCray,49.4,0.3,0.1,0.0,
Louis King,43.3,0.3,0.1,0.0,0.0
Pops Mensah-Bonsu,42.2,0.3,0.0,0.0,0.0
Greg Brown III,38.9,0.4,0.0,-0.1,
Andre Brown,38.8,0.4,0.0,-0.1,
Jordan Mickey,37.1,0.3,0.1,0.1,
Eddie Mast,33.7,0.4,0.1,-0.2,
Bob Bigelow,32.5,0.4,0.0,0.0,0.0
Devin Ebanks,31.6,0.4,0.3,-0.1,
