Season,Team,Lg,Salary
2012-13,Dallas Mavericks,NBA,"$1,156,320"
2013-14,Atlanta Hawks,NBA,"$1,208,400"
2015-16,Orlando Magic,NBA,"$981,348"
2015-16,Milwaukee Bucks,NBA,"$57,726"
Career,(may be incomplete),,"$3,403,794"
