"('Thru 8 Years', 'Player')","('Thru 8 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')"
Dejounte Murray,,7.3,4.9,4.7,3.3,3.2,2.6,0.2,0.0
Bobby Phills,93.0,7.1,5.0,4.0,3.5,3.2,3.0,-0.1,-0.1
Dick Garmaker,89.0,7.5,4.7,4.6,4.4,3.1,1.3,,
Eric Bledsoe,87.7,7.0,5.6,5.3,4.1,3.7,2.5,0.3,0.2
Travis Best,87.4,7.2,5.1,4.1,3.4,3.3,2.1,1.8,0.7
Jim Cleamons,86.8,7.1,5.5,3.8,3.4,2.7,2.6,1.7,0.1
Charlie Ward,86.7,7.1,5.5,3.9,3.6,3.1,1.9,1.0,-0.2
Larry Drew,86.2,7.2,4.6,3.6,3.0,2.8,1.2,0.1,0.0
Grayson Allen,85.0,6.9,5.1,4.2,2.7,2.5,1.2,0.0,
Gene Littles,84.8,7.7,4.8,4.2,3.6,1.6,1.4,,
Danny Green,84.7,7.8,5.9,4.5,4.2,4.2,3.4,0.2,0.1
