"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')"
Nikola JoviÄ,,2.5,1.9,0.2,,,
Kendrick Nunn,88.5,2.9,2.0,0.2,,,
Peyton Watson,88.1,2.5,2.5,0.3,,,
Kenny Rollins,86.4,2.6,1.5,0.1,,,
Rodrigue Beaubois,85.5,2.2,2.0,0.4,0.2,,
Maurice McHartley,84.9,2.4,1.8,0.8,,,
Ãlex Abrines,82.2,2.2,2.1,0.6,,,
Facundo Campazzo,81.5,3.1,2.0,0.0,,,
Steve Bracey,81.4,2.1,1.5,0.3,,,
Frank Kudelka,81.2,2.4,1.7,0.4,-0.4,,
Chris Quinn,80.9,2.6,2.1,0.6,0.1,0.1,-0.2
