Season,Team,Lg,Salary
2022-23,Miami Heat,NBA,"$2,239,920"
2023-24,Miami Heat,NBA,"$2,352,000"
2024-25,Miami Heat,NBA,"$2,464,200"
Career,(may be incomplete),,"$7,056,120"
