"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')"
Rudy FernÃ¡ndez,,6.1,3.8,3.0,1.2,,,,,
Aaron Wiggins,90.8,5.4,3.7,2.6,1.2,,,,,
Luguentz Dort,83.0,5.6,4.6,2.9,1.4,0.8,0.3,,,
Luther Head,83.0,5.7,3.5,3.5,0.9,0.6,0.6,,,
Isaiah Joe,82.5,5.1,3.8,3.5,0.6,0.4,,,,
Chick Reiser,81.9,5.5,3.9,3.7,,,,,,
Scott Burrell,81.4,5.6,3.7,3.2,1.4,1.1,0.8,0.5,0.1,
Randy Wittman,80.6,5.9,4.2,3.5,1.6,1.2,0.7,0.0,0.0,0.0
Wilbur Holland,80.5,5.9,4.4,3.8,-0.1,,,,,
Billy Kenville,79.8,4.5,3.9,3.0,1.4,0.5,0.4,,,
Josh Giddey,79.0,5.3,4.3,4.0,0.4,,,,,
