Season,Team,Lg,Salary
2001-02,Washington Wizards,NBA,"$978,600"
2002-03,Washington Wizards,NBA,"$1,051,920"
2003-04,Washington Wizards,NBA,"$1,125,360"
2004-05,Washington Wizards,NBA,"$1,735,305"
2005-06,Washington Wizards,NBA,"$4,000,000"
2006-07,Washington Wizards,NBA,"$4,500,000"
2007-08,Washington Wizards,NBA,"$5,000,000"
2008-09,Washington Wizards,NBA,"$5,500,000"
2009-10,Dallas Mavericks,NBA,"$6,000,000"
2010-11,Dallas Mavericks,NBA,"$6,900,000"
2011-12,Dallas Mavericks,NBA,"$7,624,500"
2012-13,Dallas Mavericks,NBA,"$6,299,000"
2012-13,Charlotte Bobcats,NBA,"$2,050,000"
2013-14,Charlotte Bobcats,NBA,"$2,050,000"
2014-15,Dallas Mavericks,NBA,"$7,798,000"
2014-15,Cleveland Cavaliers,NBA,"$2,213,688"
Career,(may be incomplete),,"$64,826,373"
