"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')","('Win Shares (Best to Worst)', '10')","('Win Shares (Best to Worst)', '11')","('Win Shares (Best to Worst)', '12')","('Win Shares (Best to Worst)', '13')","('Win Shares (Best to Worst)', '14')"
E'Twaun Moore,,4.4,2.7,1.8,1.7,1.7,0.9,0.8,0.4,0.2,0.2,,,,
Kent Bazemore,86.2,4.1,2.2,2.1,1.8,1.6,0.7,0.6,0.2,0.1,0.1,,,,
Frank Johnson,86.1,4.3,3.0,2.1,1.9,1.6,1.5,1.2,0.6,0.5,0.5,,,,
Jordan Farmar,86.0,3.9,2.8,1.9,1.8,0.9,0.8,0.7,0.6,0.4,0.0,,,,
Ish Smith,84.4,4.4,3.1,1.9,1.7,1.3,1.1,1.0,0.5,0.3,-0.1,-0.1,-0.4,-0.4,-0.5
Bob Hansen,83.6,4.4,2.8,2.6,2.5,1.7,0.9,0.7,-0.1,-0.1,,,,,
John Barnhill,82.2,4.6,2.5,1.7,1.1,1.0,1.0,0.7,0.4,0.3,-0.4,,,,
Marquis Daniels,81.9,4.2,3.2,2.5,2.0,1.3,1.3,0.9,0.6,0.5,0.1,,,,
Elfrid Payton,80.9,4.4,2.8,2.3,2.2,1.7,1.5,1.0,-0.2,-0.6,,,,,
Winston Garland,80.7,4.5,2.9,2.4,1.8,1.7,1.2,-0.3,,,,,,,
Kevin Ollie,80.7,3.8,2.4,2.4,1.4,1.2,1.1,0.9,0.6,0.5,0.3,0.1,0.0,-0.1,
