"('Thru 4 Years', 'Player')","('Thru 4 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')"
Ayo Dosunmu,,4.1,3.0,2.9,2.5
Joe Hamilton,96.1,4.1,2.9,2.9,2.2
Bogdan BogdanoviÄ,95.8,3.9,3.1,2.9,2.7
Chris Ford,94.5,4.3,2.8,2.7,2.5
Courtney Lee,93.9,4.4,3.2,3.1,2.7
Fatty Taylor,93.4,3.7,3.0,2.6,2.6
Jalen Rose,92.4,3.8,3.3,2.9,2.1
Bradley Beal,92.3,4.0,3.7,3.0,2.7
Raymond Felton,91.2,4.3,3.4,2.6,2.3
Billy McKinney,90.4,3.4,3.3,3.0,2.7
Kelvin Ransey,89.5,3.8,3.7,2.8,2.2
