Season,Team,Lg,Salary
2021-22,Chicago Bulls,NBA,"$925,258"
2022-23,Chicago Bulls,NBA,"$1,563,518"
2023-24,Chicago Bulls,NBA,"$6,481,482"
2024-25,Chicago Bulls,NBA,"$7,000,000"
Career,(may be incomplete),,"$15,970,258"
