Season,Age,Team,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,Awards
2010-11,22,OKC,NBA,C,18.0,0.0,142.0,2.9,5.5,0.533,0.0,0.0,2.9,5.5,0.533,0.533,0.7,1.5,0.5,4.7,8.0,12.8,1.5,1.8,2.6,2.9,10.9,6.6,98.0,104.0,
2011-12,23,OKC,NBA,C,26.0,0.0,173.0,6.6,12.5,0.524,0.0,0.0,6.6,12.5,0.524,0.524,3.9,4.2,0.929,3.9,10.4,14.3,0.9,2.4,4.8,2.7,6.6,17.0,113.0,96.0,
2012-13,24,2TM,NBA,C,45.0,0.0,388.0,5.7,10.4,0.55,0.0,0.0,5.7,10.4,0.55,0.55,1.6,2.6,0.6,3.9,11.7,15.6,1.2,0.7,3.0,3.0,7.8,13.0,102.0,105.0,
2012-13,24,HOU,NBA,C,30.0,0.0,213.0,5.4,10.1,0.535,0.0,0.0,5.4,10.1,0.535,0.535,0.9,2.1,0.444,2.8,10.6,13.4,1.4,0.7,2.1,3.3,9.6,11.7,92.0,105.0,
2012-13,24,SAC,NBA,C,15.0,0.0,175.0,6.2,10.8,0.568,0.0,0.0,6.2,10.8,0.568,0.568,2.3,3.2,0.727,5.3,13.2,18.5,0.9,0.6,4.1,2.6,5.6,14.6,112.0,106.0,
2013-14,25,NYK,NBA,C,46.0,2.0,330.0,5.3,9.8,0.541,0.0,0.0,5.3,9.8,0.541,0.541,4.2,4.8,0.867,6.0,14.8,20.8,2.3,1.3,4.8,2.9,6.4,14.8,120.0,100.0,
2014-15,26,NYK,NBA,C,61.0,16.0,976.0,7.8,16.2,0.478,0.0,0.0,7.8,16.2,0.478,0.478,2.7,3.5,0.781,5.4,12.8,18.2,4.0,2.0,3.5,3.2,6.6,18.2,104.0,102.0,
2015-16,27,LAC,NBA,C,60.0,5.0,800.0,8.4,14.1,0.596,0.0,0.0,8.4,14.1,0.596,0.596,3.8,5.3,0.714,5.4,12.7,18.0,3.1,2.9,4.3,4.0,8.7,20.5,113.0,94.0,
2016-17,28,MIN,NBA,C,62.0,0.0,531.0,4.3,8.2,0.523,0.0,0.0,4.3,8.2,0.523,0.523,1.4,2.1,0.682,4.9,10.2,15.1,2.4,2.4,2.2,1.6,8.1,10.0,118.0,107.0,
2017-18,29,MIN,NBA,C,21.0,0.0,49.0,5.1,15.3,0.333,0.0,0.0,5.1,15.3,0.333,0.333,2.0,6.1,0.333,3.1,12.2,15.3,3.1,2.0,1.0,1.0,11.2,12.2,85.0,107.0,
8 Yrs,8 Yrs,8 Yrs,8 Yrs,,339.0,23.0,3389.0,6.6,12.5,0.527,0.0,0.0,6.6,12.5,0.527,0.527,2.7,3.7,0.738,5.1,12.1,17.2,2.8,2.1,3.5,3.0,7.7,15.9,109.0,101.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NYK (2 Yrs),NYK (2 Yrs),NYK (2 Yrs),NYK (2 Yrs),,107.0,18.0,1306.0,7.2,14.6,0.489,0.0,0.0,7.2,14.6,0.489,0.489,3.1,3.8,0.809,5.6,13.3,18.9,3.6,1.8,3.8,3.1,6.5,17.4,107.0,102.0,
MIN (2 Yrs),MIN (2 Yrs),MIN (2 Yrs),MIN (2 Yrs),,83.0,0.0,580.0,4.4,8.8,0.495,0.0,0.0,4.4,8.8,0.495,0.495,1.5,2.4,0.607,4.7,10.4,15.1,2.4,2.4,2.1,1.6,8.4,10.2,114.0,107.0,
OKC (2 Yrs),OKC (2 Yrs),OKC (2 Yrs),OKC (2 Yrs),,44.0,0.0,315.0,4.9,9.4,0.526,0.0,0.0,4.9,9.4,0.526,0.526,2.5,3.0,0.833,4.3,9.4,13.6,1.1,2.1,3.8,2.8,8.5,12.3,108.0,100.0,
LAC (1 Yr),LAC (1 Yr),LAC (1 Yr),LAC (1 Yr),,60.0,5.0,800.0,8.4,14.1,0.596,0.0,0.0,8.4,14.1,0.596,0.596,3.8,5.3,0.714,5.4,12.7,18.0,3.1,2.9,4.3,4.0,8.7,20.5,113.0,94.0,
HOU (1 Yr),HOU (1 Yr),HOU (1 Yr),HOU (1 Yr),,30.0,0.0,213.0,5.4,10.1,0.535,0.0,0.0,5.4,10.1,0.535,0.535,0.9,2.1,0.444,2.8,10.6,13.4,1.4,0.7,2.1,3.3,9.6,11.7,92.0,105.0,
SAC (1 Yr),SAC (1 Yr),SAC (1 Yr),SAC (1 Yr),,15.0,0.0,175.0,6.2,10.8,0.568,0.0,0.0,6.2,10.8,0.568,0.568,2.3,3.2,0.727,5.3,13.2,18.5,0.9,0.6,4.1,2.6,5.6,14.6,112.0,106.0,
