Season,Age,Team,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
2011-12,23,OKC,NBA,C,5.0,0.0,25.0,5.8,13.0,0.444,0.0,0.0,5.8,13.0,0.444,0.444,2.9,5.8,0.5,7.2,11.5,18.7,0.0,0.0,0.0,0.0,4.3,14.4,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-16,27,LAC,NBA,C,6.0,0.0,77.0,4.7,7.0,0.667,0.0,0.0,4.7,7.0,0.667,0.667,1.4,2.8,0.5,3.7,10.3,14.0,1.4,2.8,1.4,0.9,5.1,10.8,
2 Yrs,2 Yrs,2 Yrs,2 Yrs,,11.0,0.0,102.0,4.9,8.5,0.583,0.0,0.0,4.9,8.5,0.583,0.583,1.8,3.5,0.5,4.6,10.6,15.2,1.1,2.1,1.1,0.7,4.9,11.6,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LAC (1 Yr),LAC (1 Yr),LAC (1 Yr),LAC (1 Yr),,6.0,0.0,77.0,4.7,7.0,0.667,0.0,0.0,4.7,7.0,0.667,0.667,1.4,2.8,0.5,3.7,10.3,14.0,1.4,2.8,1.4,0.9,5.1,10.8,
OKC (1 Yr),OKC (1 Yr),OKC (1 Yr),OKC (1 Yr),,5.0,0.0,25.0,5.8,13.0,0.444,0.0,0.0,5.8,13.0,0.444,0.444,2.9,5.8,0.5,7.2,11.5,18.7,0.0,0.0,0.0,0.0,4.3,14.4,
