Season,Age,Team,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,eFG%,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Trp-Dbl,Awards
2018-19,22,HOU,NBA,SF,2,0,16,1,4,0.25,1,4,0.25,0,0,0.375,0,0,1,1,2,0,0,0,0,0,3,0,
1 Yr,1 Yr,1 Yr,1 Yr,,2,0,16,1,4,0.25,1,4,0.25,0,0,0.375,0,0,1,1,2,0,0,0,0,0,3,0,
82 Game Avg,82 Game Avg,82 Game Avg,82 Game Avg,,82,0,656,41,164,0.25,41,164,0.25,0,0,0.375,0,0,41,41,82,0,0,0,0,0,123,0,
