"('Unnamed: 0_level_0', 'Season')","('Unnamed: 1_level_0', 'Age')","('Unnamed: 2_level_0', 'Team')","('Unnamed: 3_level_0', 'Lg')","('Unnamed: 4_level_0', 'Pos')","('Unnamed: 5_level_0', 'G')","('Unnamed: 6_level_0', 'GS')","('Unnamed: 7_level_0', 'MP')","('Unnamed: 8_level_0', 'FG%')","('Unnamed: 9_level_0', 'Dist.')","('% of FGA by Distance', '2P')","('% of FGA by Distance', '0-3')","('% of FGA by Distance', '3-10')","('% of FGA by Distance', '10-16')","('% of FGA by Distance', '16-3P')","('% of FGA by Distance', '3P')","('FG% by Distance', '2P')","('FG% by Distance', '0-3')","('FG% by Distance', '3-10')","('FG% by Distance', '10-16')","('FG% by Distance', '16-3P')","('FG% by Distance', '3P')","(""% of FG Ast'd"", '2P')","(""% of FG Ast'd"", '3P')","('Dunks', '%FGA')","('Dunks', '#')","('Unnamed: 26_level_0', '%3PA')","('1/2 Court', 'Att.')","('1/2 Court', 'Md.')","('Unnamed: 29_level_0', 'Awards')"
2015-16,26,MIA,NBA,C,10.0,10.0,291.0,0.681,3.9,1.0,0.623,0.275,0.087,0.014,0.0,0.681,0.814,0.632,0.0,0.0,,0.66,,0.275,19.0,,0.0,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-18,28,MIA,NBA,C,5.0,5.0,77.0,0.45,2.9,1.0,0.7,0.15,0.15,0.0,0.0,0.45,0.5,0.333,0.333,,,0.889,,0.3,4.0,,0.0,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-20,30,POR,NBA,C,5.0,3.0,106.0,0.542,6.1,0.958,0.5,0.292,0.083,0.083,0.042,0.522,0.75,0.286,0.5,0.0,1.0,0.667,1.0,0.167,4.0,0.0,0.0,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-22,32,UTA,NBA,C,6.0,0.0,65.0,0.417,3.1,1.0,0.5,0.5,0.0,0.0,0.0,0.417,0.667,0.167,,,,0.2,,0.083,1.0,,0.0,0.0,
4 Yrs,4 Yrs,4 Yrs,4 Yrs,,26.0,18.0,539.0,0.592,4.0,0.992,0.6,0.28,0.088,0.024,0.008,0.589,0.733,0.457,0.182,0.0,1.0,0.658,1.0,0.24,28.0,0.0,0.0,0.0,
82 Game Avg,82 Game Avg,82 Game Avg,82 Game Avg,,82.0,57.0,1700.0,0.592,4.0,0.992,0.6,0.28,0.088,0.024,0.008,0.589,0.733,0.457,0.182,0.0,1.0,0.658,1.0,0.24,88.0,0.0,0.0,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MIA (2 Yrs),MIA (2 Yrs),MIA (2 Yrs),MIA (2 Yrs),,15.0,15.0,368.0,0.629,3.4,1.0,0.64,0.247,0.101,0.011,0.0,0.629,0.737,0.591,0.111,0.0,,0.696,,0.281,23.0,,0.0,0.0,
UTA (1 Yr),UTA (1 Yr),UTA (1 Yr),UTA (1 Yr),,6.0,0.0,65.0,0.417,3.1,1.0,0.5,0.5,0.0,0.0,0.0,0.417,0.667,0.167,,,,0.2,,0.083,1.0,,0.0,0.0,
POR (1 Yr),POR (1 Yr),POR (1 Yr),POR (1 Yr),,5.0,3.0,106.0,0.542,6.1,0.958,0.5,0.292,0.083,0.083,0.042,0.522,0.75,0.286,0.5,0.0,1.0,0.667,1.0,0.167,4.0,0.0,0.0,0.0,
