"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')","('Win Shares (Best to Worst)', '10')","('Win Shares (Best to Worst)', '11')","('Win Shares (Best to Worst)', '12')"
Daniel Gafford,,7.8,6.1,6.0,5.9,3.5,1.9,,,,,,
Mitchell Robinson,88.4,8.5,6.8,6.5,6.1,3.4,2.5,1.3,,,,,
Steve Stipanovich,84.7,9.0,6.9,5.9,5.0,3.6,,,,,,,
Neal Walk,84.5,7.1,6.8,6.1,5.1,2.1,1.7,1.2,0.2,,,,
Elmore Smith,82.9,8.7,6.8,5.9,4.7,3.9,2.9,1.5,0.3,,,,
George Ratkovicz,82.6,9.3,6.0,5.4,5.2,2.8,-0.1,,,,,,
Deandre Ayton,82.5,8.4,7.3,6.2,5.8,3.9,3.1,2.8,,,,,
Stan Miasek,81.7,10.3,5.8,5.5,4.1,3.5,2.1,,,,,,
Darrall Imhoff,81.2,8.2,5.9,5.0,4.9,2.4,2.1,0.9,0.7,0.7,0.0,-0.2,-0.6
Andrew Bynum,80.8,8.0,7.8,6.6,5.5,4.8,4.2,0.4,0.1,,,,
Gene Moore,78.7,6.8,5.7,5.0,4.5,1.9,0.8,0.0,,,,,
