Season,Age,Team,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,2P,2PA,2P%,eFG%,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Trp-Dbl,Awards
2023-24,21,DAL,NBA,PF,3,0,9,0,2,0.0,0,0,0,2,0.0,0.0,0,0,0,3,3,1,0,0,0,0,0,0,
1 Yr,1 Yr,1 Yr,1 Yr,,3,0,9,0,2,0.0,0,0,0,2,0.0,0.0,0,0,0,3,3,1,0,0,0,0,0,0,
82 Game Avg,82 Game Avg,82 Game Avg,82 Game Avg,,82,0,246,0,55,0.0,0,0,0,55,0.0,0.0,0,0,0,82,82,27,0,0,0,0,0,0,
