Season,Age,Team,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Trp-Dbl,Awards
2012-13,24,IND,NBA,C,14.0,0.0,55.0,5.0,21.0,0.238,0.0,0.0,5.0,21.0,0.238,0.238,3.0,4.0,0.75,12.0,10.0,22.0,2.0,0.0,3.0,3.0,5.0,13.0,0.0,
2013-14,25,PHO,NBA,C,80.0,79.0,1964.0,286.0,553.0,0.517,0.0,0.0,286.0,553.0,0.517,0.517,74.0,132.0,0.561,198.0,428.0,626.0,43.0,50.0,90.0,111.0,185.0,646.0,0.0,
2014-15,26,2TM,NBA,C,73.0,28.0,1194.0,136.0,254.0,0.535,0.0,0.0,136.0,254.0,0.535,0.535,22.0,46.0,0.478,112.0,208.0,320.0,34.0,41.0,66.0,51.0,111.0,294.0,0.0,
2014-15,26,PHO,NBA,C,54.0,28.0,1005.0,107.0,195.0,0.549,0.0,0.0,107.0,195.0,0.549,0.549,19.0,38.0,0.5,95.0,179.0,274.0,27.0,35.0,55.0,45.0,99.0,233.0,0.0,
2014-15,26,MIL,NBA,C,19.0,0.0,189.0,29.0,59.0,0.492,0.0,0.0,29.0,59.0,0.492,0.492,3.0,8.0,0.375,17.0,29.0,46.0,7.0,6.0,11.0,6.0,12.0,61.0,0.0,
2015-16,27,MIL,NBA,C,61.0,14.0,870.0,140.0,233.0,0.601,0.0,0.0,140.0,233.0,0.601,0.601,34.0,59.0,0.576,94.0,138.0,232.0,16.0,21.0,50.0,40.0,73.0,314.0,0.0,
2016-17,28,2TM,NBA,C,45.0,12.0,484.0,44.0,92.0,0.478,0.0,0.0,44.0,92.0,0.478,0.478,25.0,39.0,0.641,38.0,57.0,95.0,21.0,18.0,13.0,30.0,73.0,113.0,0.0,
2016-17,28,MIL,NBA,C,32.0,12.0,310.0,30.0,68.0,0.441,0.0,0.0,30.0,68.0,0.441,0.441,22.0,35.0,0.629,23.0,30.0,53.0,18.0,11.0,9.0,22.0,48.0,82.0,0.0,
2016-17,28,CHO,NBA,C,13.0,0.0,174.0,14.0,24.0,0.583,0.0,0.0,14.0,24.0,0.583,0.583,3.0,4.0,0.75,15.0,27.0,42.0,3.0,7.0,4.0,8.0,25.0,31.0,0.0,
2017-18,29,ATL,NBA,C,55.0,35.0,918.0,105.0,180.0,0.583,0.0,0.0,105.0,180.0,0.583,0.583,27.0,60.0,0.45,77.0,151.0,228.0,45.0,17.0,30.0,63.0,79.0,237.0,0.0,
2018-19,30,ATL,NBA,C,18.0,0.0,173.0,32.0,48.0,0.667,0.0,0.0,32.0,48.0,0.667,0.667,16.0,30.0,0.533,16.0,23.0,39.0,17.0,6.0,4.0,10.0,14.0,80.0,0.0,
7 Yrs,7 Yrs,7 Yrs,7 Yrs,,346.0,168.0,5658.0,748.0,1381.0,0.542,0.0,0.0,748.0,1381.0,0.542,0.542,201.0,370.0,0.543,547.0,1015.0,1562.0,178.0,153.0,256.0,308.0,540.0,1697.0,0.0,
82 Game Avg,82 Game Avg,82 Game Avg,82 Game Avg,,82.0,40.0,1341.0,177.0,327.0,0.542,0.0,0.0,177.0,327.0,0.542,0.542,48.0,88.0,0.543,130.0,241.0,370.0,42.0,36.0,61.0,73.0,128.0,402.0,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MIL (3 Yrs),MIL (3 Yrs),MIL (3 Yrs),MIL (3 Yrs),,112.0,26.0,1369.0,199.0,360.0,0.553,0.0,0.0,199.0,360.0,0.553,0.553,59.0,102.0,0.578,134.0,197.0,331.0,41.0,38.0,70.0,68.0,133.0,457.0,0.0,
PHO (2 Yrs),PHO (2 Yrs),PHO (2 Yrs),PHO (2 Yrs),,134.0,107.0,2969.0,393.0,748.0,0.525,0.0,0.0,393.0,748.0,0.525,0.525,93.0,170.0,0.547,293.0,607.0,900.0,70.0,85.0,145.0,156.0,284.0,879.0,0.0,
ATL (2 Yrs),ATL (2 Yrs),ATL (2 Yrs),ATL (2 Yrs),,73.0,35.0,1091.0,137.0,228.0,0.601,0.0,0.0,137.0,228.0,0.601,0.601,43.0,90.0,0.478,93.0,174.0,267.0,62.0,23.0,34.0,73.0,93.0,317.0,0.0,
IND (1 Yr),IND (1 Yr),IND (1 Yr),IND (1 Yr),,14.0,0.0,55.0,5.0,21.0,0.238,0.0,0.0,5.0,21.0,0.238,0.238,3.0,4.0,0.75,12.0,10.0,22.0,2.0,0.0,3.0,3.0,5.0,13.0,0.0,
CHO (1 Yr),CHO (1 Yr),CHO (1 Yr),CHO (1 Yr),,13.0,0.0,174.0,14.0,24.0,0.583,0.0,0.0,14.0,24.0,0.583,0.583,3.0,4.0,0.75,15.0,27.0,42.0,3.0,7.0,4.0,8.0,25.0,31.0,0.0,
