Season,Age,Team,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,Awards
2012-13,24,IND,NBA,C,14.0,0.0,55.0,4.8,20.3,0.238,0.0,0.0,4.8,20.3,0.238,0.238,2.9,3.9,0.75,11.6,9.7,21.3,1.9,0.0,2.9,2.9,4.8,12.6,82.0,100.0,
2013-14,25,PHO,NBA,C,80.0,79.0,1964.0,7.3,14.1,0.517,0.0,0.0,7.3,14.1,0.517,0.517,1.9,3.4,0.561,5.1,10.9,16.0,1.1,1.3,2.3,2.8,4.7,16.5,104.0,104.0,
2014-15,26,2TM,NBA,C,73.0,28.0,1194.0,5.7,10.6,0.535,0.0,0.0,5.7,10.6,0.535,0.535,0.9,1.9,0.478,4.7,8.7,13.4,1.4,1.7,2.8,2.1,4.7,12.3,107.0,103.0,
2014-15,26,PHO,NBA,C,54.0,28.0,1005.0,5.3,9.7,0.549,0.0,0.0,5.3,9.7,0.549,0.549,0.9,1.9,0.5,4.7,8.9,13.6,1.3,1.7,2.7,2.2,4.9,11.6,108.0,103.0,
2014-15,26,MIL,NBA,C,19.0,0.0,189.0,7.8,15.9,0.492,0.0,0.0,7.8,15.9,0.492,0.492,0.8,2.2,0.375,4.6,7.8,12.4,1.9,1.6,3.0,1.6,3.2,16.5,103.0,100.0,
2015-16,27,MIL,NBA,C,61.0,14.0,870.0,8.2,13.6,0.601,0.0,0.0,8.2,13.6,0.601,0.601,2.0,3.5,0.576,5.5,8.1,13.6,0.9,1.2,2.9,2.3,4.3,18.4,115.0,107.0,
2016-17,28,2TM,NBA,C,45.0,12.0,484.0,4.6,9.6,0.478,0.0,0.0,4.6,9.6,0.478,0.478,2.6,4.1,0.641,4.0,6.0,9.9,2.2,1.9,1.4,3.1,7.6,11.8,99.0,109.0,
2016-17,28,MIL,NBA,C,32.0,12.0,310.0,4.9,11.1,0.441,0.0,0.0,4.9,11.1,0.441,0.441,3.6,5.7,0.629,3.8,4.9,8.7,2.9,1.8,1.5,3.6,7.9,13.4,95.0,110.0,
2016-17,28,CHO,NBA,C,13.0,0.0,174.0,4.0,6.9,0.583,0.0,0.0,4.0,6.9,0.583,0.583,0.9,1.2,0.75,4.3,7.8,12.1,0.9,2.0,1.2,2.3,7.2,8.9,109.0,107.0,
2017-18,29,ATL,NBA,C,55.0,35.0,918.0,5.6,9.6,0.583,0.0,0.0,5.6,9.6,0.583,0.583,1.4,3.2,0.45,4.1,8.0,12.1,2.4,0.9,1.6,3.4,4.2,12.6,102.0,111.0,
2018-19,30,ATL,NBA,C,18.0,0.0,173.0,8.5,12.8,0.667,0.0,0.0,8.5,12.8,0.667,0.667,4.3,8.0,0.533,4.3,6.1,10.4,4.5,1.6,1.1,2.7,3.7,21.4,125.0,114.0,
7 Yrs,7 Yrs,7 Yrs,7 Yrs,,346.0,168.0,5658.0,6.6,12.2,0.542,0.0,0.0,6.6,12.2,0.542,0.542,1.8,3.3,0.543,4.8,9.0,13.8,1.6,1.4,2.3,2.7,4.8,15.0,106.0,106.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MIL (3 Yrs),MIL (3 Yrs),MIL (3 Yrs),MIL (3 Yrs),,112.0,26.0,1369.0,7.4,13.4,0.553,0.0,0.0,7.4,13.4,0.553,0.553,2.2,3.8,0.578,5.0,7.3,12.3,1.5,1.4,2.6,2.5,4.9,17.0,109.0,107.0,
PHO (2 Yrs),PHO (2 Yrs),PHO (2 Yrs),PHO (2 Yrs),,134.0,107.0,2969.0,6.6,12.6,0.525,0.0,0.0,6.6,12.6,0.525,0.525,1.6,2.9,0.547,4.9,10.2,15.2,1.2,1.4,2.4,2.6,4.8,14.8,105.0,103.0,
ATL (2 Yrs),ATL (2 Yrs),ATL (2 Yrs),ATL (2 Yrs),,73.0,35.0,1091.0,6.1,10.1,0.601,0.0,0.0,6.1,10.1,0.601,0.601,1.9,4.0,0.478,4.1,7.7,11.8,2.8,1.0,1.5,3.2,4.1,14.1,106.0,111.0,
IND (1 Yr),IND (1 Yr),IND (1 Yr),IND (1 Yr),,14.0,0.0,55.0,4.8,20.3,0.238,0.0,0.0,4.8,20.3,0.238,0.238,2.9,3.9,0.75,11.6,9.7,21.3,1.9,0.0,2.9,2.9,4.8,12.6,82.0,100.0,
CHO (1 Yr),CHO (1 Yr),CHO (1 Yr),CHO (1 Yr),,13.0,0.0,174.0,4.0,6.9,0.583,0.0,0.0,4.0,6.9,0.583,0.583,0.9,1.2,0.75,4.3,7.8,12.1,0.9,2.0,1.2,2.3,7.2,8.9,109.0,107.0,
