"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')"
Ayo Dosunmu,,4.1,3.0,2.9,2.5,,,
Joe Hamilton,93.6,4.1,2.9,2.9,2.2,0.2,0.2,
Skeeter Swift,87.3,4.3,3.4,2.7,1.8,0.0,,
Devonte' Graham,86.5,3.4,3.4,2.8,2.5,0.5,0.1,
Tre Jones,85.6,4.9,3.4,2.9,2.9,0.4,,
Eric Money,85.2,4.2,3.6,3.3,2.7,0.6,0.3,
Otis Smith,84.3,3.6,3.5,3.3,2.5,-0.2,-0.4,
Greivis VÃ¡squez,84.2,3.8,3.6,2.8,2.3,0.5,0.0,-0.3
Bill Gabor,81.8,3.5,2.9,2.8,1.5,0.5,0.0,
Andre Roberson,80.8,4.2,3.4,2.2,2.1,0.8,0.0,-0.1
Pep Saul,80.6,4.2,2.9,2.8,1.5,0.8,0.6,
