"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')","('Win Shares (Best to Worst)', '10')","('Win Shares (Best to Worst)', '11')","('Win Shares (Best to Worst)', '12')","('Win Shares (Best to Worst)', '13')","('Win Shares (Best to Worst)', '14')","('Win Shares (Best to Worst)', '15')","('Win Shares (Best to Worst)', '16')"
Spencer Hawes,,4.5,4.5,2.9,2.4,2.1,1.9,1.7,1.2,0.8,0.6,,,,,,
Randy Breuer,88.0,5.1,4.5,3.0,2.4,2.0,1.7,1.0,0.9,0.3,0.1,0.0,,,,,
Otto Moore,86.6,5.0,4.7,3.5,2.9,2.4,2.3,1.8,1.3,0.9,,,,,,,
Clemon Johnson,84.1,4.3,4.0,3.7,3.5,2.2,2.0,2.0,1.7,1.2,0.9,,,,,,
Mikki Moore,84.0,5.7,4.6,2.8,2.6,2.2,2.1,1.0,0.6,0.6,0.1,0.1,0.1,0.1,,,
Dennis Awtrey,83.9,5.2,5.0,3.1,2.1,1.8,1.4,1.0,1.0,0.7,0.6,0.6,0.0,,,,
Chris Dudley,83.9,4.7,4.1,3.5,3.4,2.2,2.2,1.5,1.5,1.0,1.0,0.5,0.3,0.2,0.1,0.0,0.0
Alex Len,83.1,4.5,3.4,3.2,3.0,2.7,2.5,1.3,1.3,0.9,0.7,0.3,0.2,,,,
Bob Ferry,81.7,4.9,3.9,3.1,2.7,1.4,1.2,1.2,0.9,0.8,0.0,,,,,,
John Henson,81.6,4.9,3.6,3.3,2.7,2.3,1.9,1.4,0.6,,,,,,,,
Len Elmore,81.5,4.1,3.4,2.2,2.1,2.1,1.6,1.5,0.9,0.9,0.0,,,,,,
