"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')"
Alando Tucker,,0.2,0.1,0.0,
Mfiondu Kabengele,90.2,0.2,0.2,0.1,
Easy Parham,86.8,0.3,0.1,0.0,
Isaiah Mobley,78.7,0.2,0.0,0.0,
Jackie Robinson,75.0,0.2,0.1,0.0,
Jordan Mickey,68.4,0.3,0.1,0.1,
Louis King,67.3,0.3,0.1,0.0,0.0
Braxton Key,63.5,0.2,0.2,0.0,-0.1
Chris McCullough,59.6,0.3,0.2,0.1,
Norvel Pelle,56.9,0.3,0.2,0.0,
Scooter McCray,52.1,0.3,0.1,0.0,
