"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')","('Win Shares (Best to Worst)', '10')","('Win Shares (Best to Worst)', '11')"
Carlos Delfino,,4.8,4.0,3.5,3.5,2.9,2.4,1.0,0.5,,,
Henry Bibby,90.8,4.7,4.1,3.7,3.4,2.9,2.3,1.5,1.0,1.0,,
Alex Caruso,89.9,4.9,3.9,3.6,2.4,2.3,2.0,1.0,0.5,,,
Maurice Evans,89.7,4.9,3.8,3.2,3.1,2.6,2.1,1.7,0.3,0.1,,
John Williamson,89.4,5.1,4.2,3.9,3.4,3.3,2.8,1.3,-0.3,,,
Lionel Hollins,88.6,5.2,4.0,3.4,2.9,2.5,2.3,1.8,0.6,0.1,0.1,
O.J. Mayo,88.2,5.6,4.2,3.5,3.4,2.8,2.4,0.1,-0.1,,,
Jodie Meeks,87.5,5.1,4.5,4.1,3.1,3.0,2.0,1.1,0.9,0.3,0.1,
Herm Gilliam,86.8,4.9,3.4,2.9,2.7,2.5,2.5,1.4,0.4,,,
Pat Connaughton,86.7,4.4,3.9,3.5,3.4,2.8,2.5,2.5,1.2,0.6,-0.2,
Reggie Bullock,86.3,4.6,4.2,3.2,3.1,2.8,1.2,1.0,0.6,0.5,0.2,0.1
