"('Unnamed: 0_level_0', 'Season')","('Unnamed: 1_level_0', 'Age')","('Unnamed: 2_level_0', 'Team')","('Unnamed: 3_level_0', 'Lg')","('Unnamed: 4_level_0', 'Pos')","('Unnamed: 5_level_0', 'G')","('Unnamed: 6_level_0', 'GS')","('Unnamed: 7_level_0', 'MP')","('Unnamed: 8_level_0', 'FG%')","('Unnamed: 9_level_0', 'Dist.')","('% of FGA by Distance', '2P')","('% of FGA by Distance', '0-3')","('% of FGA by Distance', '3-10')","('% of FGA by Distance', '10-16')","('% of FGA by Distance', '16-3P')","('% of FGA by Distance', '3P')","('FG% by Distance', '2P')","('FG% by Distance', '0-3')","('FG% by Distance', '3-10')","('FG% by Distance', '16-3P')","('FG% by Distance', '3P')","('Unnamed: 21_level_0', '2P')","('Dunks', '%FGA')","('Dunks', '#')","('Unnamed: 24_level_0', '%3PA')","('1/2 Court', 'Att.')","('1/2 Court', 'Md.')","('Unnamed: 27_level_0', 'Awards')"
2012-13,24,MEM,NBA,SF,4.0,0.0,20.0,0.375,16.4,0.875,0.0,0.25,0.0,0.625,0.125,0.429,,1.0,0.2,0.0,0.667,0.0,0.0,0.0,0.0,0.0,
2013-14,25,SAS,NBA,SF,1.0,0.0,6.0,0.0,11.5,1.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,,0.0,,,0.0,0.0,,0.0,0.0,
2 Yrs,2 Yrs,2 Yrs,2 Yrs,,5.0,0.0,26.0,0.3,14.0,0.9,0.1,0.2,0.0,0.6,0.1,0.333,0.0,1.0,0.167,0.0,0.667,0.0,0.0,0.0,0.0,0.0,
82 Game Avg,82 Game Avg,82 Game Avg,82 Game Avg,,82.0,0.0,426.0,0.3,14.0,0.9,0.1,0.2,0.0,0.6,0.1,0.333,0.0,1.0,0.167,0.0,0.667,0.0,0.0,0.0,0.0,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
MEM (1 Yr),MEM (1 Yr),MEM (1 Yr),MEM (1 Yr),,4.0,0.0,20.0,0.375,16.4,0.875,0.0,0.25,0.0,0.625,0.125,0.429,,1.0,0.2,0.0,0.667,0.0,0.0,0.0,0.0,0.0,
SAS (1 Yr),SAS (1 Yr),SAS (1 Yr),SAS (1 Yr),,1.0,0.0,6.0,0.0,11.5,1.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,,0.0,,,0.0,0.0,,0.0,0.0,
