Season,Age,Team,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,Awards
2004-05,23,PHI,NBA,C,5.0,5.0,192.0,7.4,13.4,0.553,0.0,0.0,7.4,13.4,0.553,0.553,1.7,4.3,0.4,5.1,13.1,18.2,0.6,0.6,2.0,2.6,5.4,16.5,103.0,107.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-08,26,PHI,NBA,C,6.0,6.0,193.0,5.5,13.0,0.422,0.0,0.0,5.5,13.0,0.422,0.422,4.6,5.5,0.842,5.8,10.7,16.5,0.9,0.6,2.9,2.9,4.9,15.6,104.0,106.0,
2008-09,27,PHI,NBA,C,6.0,6.0,133.0,6.6,10.2,0.64,0.0,0.0,6.6,10.2,0.64,0.64,1.2,1.6,0.75,4.1,15.2,19.3,1.2,0.8,3.7,2.5,9.8,14.3,116.0,102.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-13,31,MIL,NBA,C,1.0,0.0,9.0,0.0,11.8,0.0,0.0,0.0,0.0,11.8,0.0,0.0,5.9,23.5,0.25,5.9,11.8,17.6,0.0,5.9,0.0,11.8,17.6,5.9,29.0,98.0,
2013-14,32,DAL,NBA,C,7.0,7.0,135.0,4.3,9.3,0.458,0.0,0.0,4.3,9.3,0.458,0.458,3.9,5.8,0.667,8.9,13.9,22.8,0.0,0.8,3.9,1.5,5.8,12.4,121.0,106.0,
5 Yrs,5 Yrs,5 Yrs,5 Yrs,,25.0,24.0,662.0,5.9,11.7,0.503,0.0,0.0,5.9,11.7,0.503,0.503,3.0,4.7,0.632,5.9,13.0,18.9,0.7,0.7,3.0,2.5,6.4,14.8,107.0,105.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHI (3 Yrs),PHI (3 Yrs),PHI (3 Yrs),PHI (3 Yrs),,17.0,17.0,518.0,6.5,12.4,0.521,0.0,0.0,6.5,12.4,0.521,0.521,2.7,4.0,0.658,5.1,12.7,17.8,0.8,0.6,2.8,2.7,6.4,15.6,106.0,105.0,
DAL (1 Yr),DAL (1 Yr),DAL (1 Yr),DAL (1 Yr),,7.0,7.0,135.0,4.3,9.3,0.458,0.0,0.0,4.3,9.3,0.458,0.458,3.9,5.8,0.667,8.9,13.9,22.8,0.0,0.8,3.9,1.5,5.8,12.4,121.0,106.0,
MIL (1 Yr),MIL (1 Yr),MIL (1 Yr),MIL (1 Yr),,1.0,0.0,9.0,0.0,11.8,0.0,0.0,0.0,0.0,11.8,0.0,0.0,5.9,23.5,0.25,5.9,11.8,17.6,0.0,5.9,0.0,11.8,17.6,5.9,29.0,98.0,
