"('Thru 5 Years', 'Player')","('Thru 5 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')"
Lorenzo Brown,,0.3,0.2,-0.1,-0.2,-0.3
Russ Lee,-98.1,0.3,0.2,0.0,,
Corey Beck,-98.3,0.4,0.2,-0.1,,
Rusty LaRue,-98.5,0.3,0.3,0.1,-0.1,
Drew Barry,-98.6,0.3,0.2,0.1,,
Briante Weber,-98.6,0.4,0.3,0.0,,
Lance Blanks,-98.7,0.4,0.2,0.1,,
Doug Lee,-98.8,0.4,0.4,0.0,,
Delaney Rudd,-98.8,0.6,0.3,0.1,-0.3,
James White,-98.8,0.5,0.3,0.0,,
Elliot Williams,-98.8,0.3,0.3,0.1,0.0,
