"('Career', 'Player')","('Career', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')"
Alton Ford,,0.8,0.1,-0.1,
Brian Quinnett,93.1,0.8,0.1,-0.1,
Linton Townes,75.6,0.7,0.0,-0.1,
Samardo Samuels,74.2,0.7,0.0,-0.1,
Okaro White,70.4,0.6,0.2,0.0,
Terence Morris,67.8,0.9,0.2,-0.1,
Joby Wright,66.6,0.6,0.0,-0.1,
Ivano Newbill,62.8,1.1,0.1,-0.1,
Scott Roth,61.5,0.7,0.3,0.1,
Jamie Watson,60.5,0.8,0.3,0.1,0.0
Jim Tucker,56.3,1.0,0.3,0.0,
