"('Thru 9 Years', 'Player')","('Thru 9 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')","('Win Shares (Best to Worst)', '8')","('Win Shares (Best to Worst)', '9')"
Mike Scott,,3.2,2.7,2.6,2.5,2.5,1.6,1.0,0.9,-0.1
Omri Casspi,89.1,3.6,2.7,2.5,2.5,2.4,2.2,1.2,0.7,0.5
Anthony Tolliver,89.0,3.3,3.2,2.8,2.7,2.5,2.3,1.2,0.9,0.0
Georges Niang,88.9,2.9,2.8,2.6,2.5,2.4,1.8,1.3,0.0,-0.3
Andrew DeClercq,87.4,3.4,3.1,2.9,2.6,2.5,1.7,1.6,1.0,0.4
James Ennis III,87.4,3.1,3.1,2.6,2.4,2.0,1.9,0.9,0.1,
Corky Calhoun,86.0,3.1,2.5,2.3,2.2,2.1,1.3,1.0,0.0,
Mike Muscala,85.7,3.4,2.5,2.4,2.1,1.9,1.6,1.3,1.3,0.2
Brad Lohaus,85.6,3.3,2.7,2.7,1.8,1.5,1.3,0.9,0.9,0.1
Sidney Green,84.3,3.4,2.7,2.5,2.0,1.9,1.9,1.7,0.6,0.3
P.J. Washington,83.6,3.4,2.7,2.6,2.4,2.0,1.9,,,
