"('Thru 7 Years', 'Player')","('Thru 7 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')","('Win Shares (Best to Worst)', '6')","('Win Shares (Best to Worst)', '7')"
Jarvis Hayes,,2.9,2.1,1.7,1.5,0.8,0.7,0.5
Ryan Bowen,90.3,3.1,2.1,1.7,1.4,1.1,0.8,0.2
Damien Wilkins,87.7,2.8,1.9,1.7,1.5,1.0,1.0,0.0
Wesley Johnson,87.1,2.6,1.9,1.7,1.3,0.9,0.6,0.0
Tom Hammonds,86.7,2.6,2.2,1.8,0.8,0.8,0.6,0.5
Corie Blount,86.3,2.6,2.5,1.7,1.2,0.9,0.8,0.7
Darrell Arthur,85.8,3.8,2.3,1.7,1.7,0.9,0.7,0.3
Steve Kuberski,85.7,2.6,2.3,1.7,1.7,1.2,0.6,0.2
McCoy McLemore,85.3,2.7,2.1,1.8,1.7,0.7,0.4,-0.3
Tony Massenburg,84.7,2.8,2.2,1.8,1.7,1.3,0.4,-0.1
Mark Madsen,84.3,2.7,1.9,1.1,1.1,0.8,0.6,0.4
