0
Career 1605 (42nd)
Career NBA 1605 (42nd)
Career Playoffs 172 (47th)
Career NBA Playoffs 172 (47th)
Career (Reg+Playoffs) 1777 (43rd)
Career NBA (Reg+Playoffs) 1777 (43rd)
