0
2019-20 Twyman-Stokes Teammate of the Year
2020-21 Sportsmanship Award (Joe Dumars Trophy)
2021-22 Twyman-Stokes Teammate of the Year
2022-23 Twyman-Stokes Teammate of the Year
2024-25 Sportsmanship Award (Joe Dumars Trophy)
2024-25 Social Justice Champion (Kareem Abdul-Jabbar Trophy)
