0
2008-09 NBA 274 (1st)
2009-10 NBA 268 (4th)
2010-11 NBA 316 (1st)
2011-12 NBA 239 (3rd)
2012-13 NBA 273 (5th)
2014-15 NBA 293 (3rd)
2015-16 NBA 342 (2nd)
2016-17 NBA 438 (2nd)
2017-18 NBA 381 (1st)
2018-19 NBA 325 (2nd)
2019-20 NBA 255 (6th)
2020-21 NBA 312 (1st)
2021-22 NBA 295 (2nd)
2022-23 NBA 255 (3rd)
2024-25 NBA 242 (6th)
2025-26 NBA 47 (8th)
Active 4876 (2nd)
Career 4876 (2nd)
Career NBA 4876 (2nd)
Career Playoffs 501 (17th)
Career NBA Playoffs 501 (16th)
Career (Reg+Playoffs) 5377 (2nd)
Career NBA (Reg+Playoffs) 5377 (2nd)
