Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,PTS
2010-11,22.0,OKC,NBA,PG,1,0,14:08,6,12,0.5,0,1,0.0,0,2,0.0,3,5,2,0,0,0,1,12
2011-12,23.0,OKC,NBA,PG,1,0,27:31,10,17,0.588,1,4,0.25,0,2,0.0,5,5,2,2,0,1,3,21
2012-13,24.0,OKC,NBA,PG,1,0,18:06,7,13,0.538,0,3,0.0,0,0,,2,4,3,1,0,2,1,14
2014-15,26.0,OKC,NBA,PG,1,0,25:33,16,28,0.571,5,9,0.556,4,4,1.0,3,5,1,3,0,1,0,41
2015-16,27.0,OKC,NBA,PG,1,1,22:11,12,23,0.522,7,17,0.412,0,0,,3,8,5,5,0,3,1,31
2016-17,28.0,OKC,NBA,PG,1,0,19:42,16,26,0.615,7,13,0.538,2,2,1.0,2,5,7,1,0,2,1,41
2017-18,29.0,OKC,NBA,PG,1,1,28:28,4,11,0.364,1,6,0.167,2,3,0.667,3,8,8,0,0,2,2,11
2018-19,30.0,OKC,NBA,PG,1,0,19:20,8,20,0.4,1,8,0.125,0,0,,0,4,3,1,0,1,0,17
2019-20,31.0,HOU,NBA,PG,1,0,27:04,2,10,0.2,0,4,0.0,2,4,0.5,2,3,3,0,0,1,0,6
Career,,,NBA,,9,2,202,81,160,0.506,22,65,0.338,10,17,0.588,23,47,34,13,0,13,9,194
