"('Thru 5 Years', 'Player')","('Thru 5 Years', 'Sim')","('Win Shares (Best to Worst)', '1')","('Win Shares (Best to Worst)', '2')","('Win Shares (Best to Worst)', '3')","('Win Shares (Best to Worst)', '4')","('Win Shares (Best to Worst)', '5')"
Patrick McCaw,,1.7,1.4,0.6,0.5,0.1
Isaiah Canaan,90.7,1.4,1.4,0.6,0.5,0.2
Keith Askins,89.5,1.9,1.4,0.7,0.6,0.3
Sidney Lowe,88.4,1.7,1.5,0.5,0.3,
Alan Anderson,86.7,1.7,1.6,0.4,0.3,0.1
Al Bianchi,82.8,1.8,1.5,0.8,0.8,-0.1
Tony Smith,82.7,1.7,1.5,1.3,0.5,0.1
Lonnie Walker IV,82.6,1.8,1.2,0.4,0.3,0.0
Quinn Cook,80.9,1.8,1.6,0.3,0.2,0.2
Shaquille Harrison,80.2,1.5,1.4,0.8,0.2,0.0
Caleb Houstan,79.8,1.8,1.5,0.7,,
