"('Unnamed: 0_level_0', 'Season')","('Unnamed: 1_level_0', 'Age')","('Unnamed: 2_level_0', 'Team')","('Unnamed: 3_level_0', 'Lg')","('Unnamed: 4_level_0', 'Pos')","('Unnamed: 5_level_0', 'G')","('Unnamed: 6_level_0', 'GS')","('Unnamed: 7_level_0', 'MP')","('Unnamed: 8_level_0', 'FG%')","('Unnamed: 9_level_0', 'Dist.')","('% of FGA by Distance', '2P')","('% of FGA by Distance', '0-3')","('% of FGA by Distance', '3-10')","('% of FGA by Distance', '10-16')","('% of FGA by Distance', '16-3P')","('% of FGA by Distance', '3P')","('FG% by Distance', '2P')","('FG% by Distance', '0-3')","('FG% by Distance', '3-10')","('FG% by Distance', '10-16')","('FG% by Distance', '16-3P')","('FG% by Distance', '3P')","('Unnamed: 22_level_0', '2P')","('Dunks', '%FGA')","('Dunks', '#')","('Corner 3s', '%3PA')","('Corner 3s', '3P%')","('1/2 Court', 'Att.')","('1/2 Court', 'Md.')","('Unnamed: 29_level_0', 'Awards')"
2007-08,22,BOS,NBA,C,17.0,0.0,137.0,0.412,6.6,0.971,0.529,0.147,0.147,0.147,0.029,0.424,0.5,0.4,0.4,0.2,0.0,0.714,0.088,3.0,0.0,,0.0,0.0,
2008-09,23,BOS,NBA,C,14.0,14.0,510.0,0.491,9.7,1.0,0.417,0.086,0.12,0.377,0.0,0.491,0.644,0.4,0.476,0.348,,0.802,0.034,6.0,,,0.0,0.0,
2009-10,24,BOS,NBA,PF,24.0,1.0,483.0,0.476,7.4,0.976,0.565,0.089,0.073,0.25,0.024,0.488,0.586,0.364,0.333,0.355,0.0,0.831,0.024,3.0,0.333,0.0,0.0,0.0,
2010-11,25,BOS,NBA,C,9.0,0.0,191.0,0.391,10.5,0.978,0.239,0.261,0.174,0.304,0.022,0.4,0.364,0.333,0.375,0.5,0.0,0.611,0.0,0.0,0.0,,0.0,0.0,
2011-12,26,ORL,NBA,PF,5.0,5.0,190.0,0.438,9.7,1.0,0.393,0.09,0.135,0.382,0.0,0.438,0.543,0.5,0.417,0.324,,0.769,0.067,5.0,,,0.0,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-14,28,LAC,NBA,PF,13.0,0.0,158.0,0.61,7.8,1.0,0.439,0.195,0.146,0.22,0.0,0.61,0.722,0.375,0.5,0.667,,0.92,0.0,0.0,,,0.0,0.0,
2014-15,29,LAC,NBA,PF,14.0,0.0,144.0,0.447,8.1,0.974,0.368,0.342,0.026,0.237,0.026,0.459,0.5,0.385,1.0,0.444,0.0,0.824,0.053,2.0,0.0,,1.0,0.0,
7 Yrs,7 Yrs,7 Yrs,7 Yrs,,96.0,20.0,1813.0,0.472,8.5,0.989,0.437,0.132,0.113,0.307,0.011,0.477,0.586,0.389,0.435,0.375,0.0,0.798,0.037,19.0,0.167,0.0,1.0,0.0,
82 Game Avg,82 Game Avg,82 Game Avg,82 Game Avg,,82.0,17.0,1549.0,0.472,8.5,0.989,0.437,0.132,0.113,0.307,0.011,0.477,0.586,0.389,0.435,0.375,0.0,0.798,0.037,16.0,0.167,0.0,1.0,0.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOS (4 Yrs),BOS (4 Yrs),BOS (4 Yrs),BOS (4 Yrs),,64.0,15.0,1321.0,0.467,8.5,0.987,0.454,0.113,0.113,0.306,0.013,0.473,0.587,0.372,0.419,0.362,0.0,0.785,0.032,12.0,0.2,0.0,0.0,0.0,
LAC (2 Yrs),LAC (2 Yrs),LAC (2 Yrs),LAC (2 Yrs),,27.0,0.0,302.0,0.532,8.0,0.987,0.405,0.266,0.089,0.228,0.013,0.538,0.625,0.381,0.571,0.556,0.0,0.881,0.025,2.0,0.0,,1.0,0.0,
ORL (1 Yr),ORL (1 Yr),ORL (1 Yr),ORL (1 Yr),,5.0,5.0,190.0,0.438,9.7,1.0,0.393,0.09,0.135,0.382,0.0,0.438,0.543,0.5,0.417,0.324,,0.769,0.067,5.0,,,0.0,0.0,
